,Year,Region,Arrivals_x,Business,Leisure,Medical,Diaspora,Others,Arrivals_y,Mode,Percentage
154,2020,West Asia,5882.0,6.0,9.9,69.9,4.2,10.1,2744766,Sea,1.5
155,2020,West Asia,5882.0,6.0,9.9,69.9,4.2,10.1,2744766,Land,19.3
156,2020,West Asia,8980.0,20.8,64.0,3.7,3.5,8.1,2744766,Air,79.2
157,2020,West Asia,8980.0,20.8,64.0,3.7,3.5,8.1,2744766,Sea,1.5
158,2020,West Asia,8980.0,20.8,64.0,3.7,3.5,8.1,2744766,Land,19.3
159,2020,West Asia,97651.0,11.7,52.3,29.9,2.3,3.7,2744766,Air,79.2
160,2020,West Asia,97651.0,11.7,52.3,29.9,2.3,3.7,2744766,Sea,1.5
161,2020,West Asia,97651.0,11.7,52.3,29.9,2.3,3.7,2744766,Land,19.3
162,2020,South Asia,47561.0,8.8,43.5,34.0,6.5,7.1,2744766,Air,79.2
163,2020,South Asia,47561.0,8.8,43.5,34.0,6.5,7.1,2744766,Sea,1.5
164,2020,South Asia,47561.0,8.8,43.5,34.0,6.5,7.1,2744766,Land,19.3
165,2020,South Asia,549273.0,4.9,74.9,18.1,0.9,1.3,2744766,Air,79.2
166,2020,South Asia,549273.0,4.9,74.9,18.1,0.9,1.3,2744766,Sea,1.5
167,2020,South Asia,549273.0,4.9,74.9,18.1,0.9,1.3,2744766,Land,19.3
168,2020,South Asia,7901.0,8.3,45.8,0.0,12.5,33.3,2744766,Air,79.2
169,2020,South Asia,7901.0,8.3,45.8,0.0,12.5,33.3,2744766,Sea,1.5
170,2020,South Asia,7901.0,8.3,45.8,0.0,12.5,33.3,2744766,Land,19.3
171,2020,South Asia,7090.0,13.7,73.2,0.2,2.3,10.6,2744766,Air,79.2
172,2020,South Asia,7090.0,13.7,73.2,0.2,2.3,10.6,2744766,Sea,1.5
173,2020,South Asia,7090.0,13.7,73.2,0.2,2.3,10.6,2744766,Land,19.3
174,2020,South Asia,14536.0,4.2,0.6,76.1,6.9,12.3,2744766,Air,79.2
175,2020,South Asia,14536.0,4.2,0.6,76.1,6.9,12.3,2744766,Sea,1.5
176,2020,South Asia,14536.0,4.2,0.6,76.1,6.9,12.3,2744766,Land,19.3
177,2020,South Asia,40822.0,3.2,74.4,1.1,5.0,16.4,2744766,Air,79.2
178,2020,South Asia,40822.0,3.2,74.4,1.1,5.0,16.4,2744766,Sea,1.5
179,2020,South Asia,40822.0,3.2,74.4,1.1,5.0,16.4,2744766,Land,19.3
180,2020,South Asia,14232.0,1.9,54.1,2.1,2.5,39.5,2744766,Air,79.2
181,2020,South Asia,14232.0,1.9,54.1,2.1,2.5,39.5,2744766,Sea,1.5
182,2020,South Asia,14232.0,1.9,54.1,2.1,2.5,39.5,2744766,Land,19.3
183,2020,South Asia,68646.0,23.8,63.3,1.2,2.7,9.2,2744766,Air,79.2
184,2020,South Asia,68646.0,23.8,63.3,1.2,2.7,9.2,2744766,Sea,1.5
185,2020,South Asia,68646.0,23.8,63.3,1.2,2.7,9.2,2744766,Land,19.3
186,2020,South Asia,750061.0,7.1,70.8,17.5,1.6,3.1,2744766,Air,79.2
187,2020,South Asia,750061.0,7.1,70.8,17.5,1.6,3.1,2744766,Sea,1.5
188,2020,South Asia,750061.0,7.1,70.8,17.5,1.6,3.1,2744766,Land,19.3
189,2020,South East Asia,11795.0,19.9,67.9,0.6,3.8,7.8,2744766,Air,79.2
190,2020,South East Asia,11795.0,19.9,67.9,0.6,3.8,7.8,2744766,Sea,1.5
191,2020,South East Asia,11795.0,19.9,67.9,0.6,3.8,7.8,2744766,Land,19.3
192,2020,South East Asia,69897.0,7.5,72.9,0.1,10.3,9.2,2744766,Air,79.2
193,2020,South East Asia,69897.0,7.5,72.9,0.1,10.3,9.2,2744766,Sea,1.5
194,2020,South East Asia,69897.0,7.5,72.9,0.1,10.3,9.2,2744766,Land,19.3
195,2020,South East Asia,35291.0,4.5,88.6,3.6,1.0,2.3,2744766,Air,79.2
196,2020,South East Asia,35291.0,4.5,88.6,3.6,1.0,2.3,2744766,Sea,1.5
197,2020,South East Asia,35291.0,4.5,88.6,3.6,1.0,2.3,2744766,Land,19.3
198,2020,South East Asia,16052.0,27.7,46.2,2.0,5.3,18.8,2744766,Air,79.2
199,2020,South East Asia,16052.0,27.7,46.2,2.0,5.3,18.8,2744766,Sea,1.5
200,2020,South East Asia,16052.0,27.7,46.2,2.0,5.3,18.8,2744766,Land,19.3
201,2020,South East Asia,33747.0,12.4,35.5,0.0,20.0,32.0,2744766,Air,79.2
202,2020,South East Asia,33747.0,12.4,35.5,0.0,20.0,32.0,2744766,Sea,1.5
203,2020,South East Asia,33747.0,12.4,35.5,0.0,20.0,32.0,2744766,Land,19.3
204,2020,South East Asia,52626.0,8.1,85.5,0.0,1.6,4.7,2744766,Air,79.2
205,2020,South East Asia,52626.0,8.1,85.5,0.0,1.6,4.7,2744766,Sea,1.5
206,2020,South East Asia,52626.0,8.1,85.5,0.0,1.6,4.7,2744766,Land,19.3
207,2020,South East Asia,8828.0,10.9,82.1,0.0,1.7,5.3,2744766,Air,79.2
208,2020,South East Asia,8828.0,10.9,82.1,0.0,1.7,5.3,2744766,Sea,1.5
209,2020,South East Asia,8828.0,10.9,82.1,0.0,1.7,5.3,2744766,Land,19.3
210,2020,South East Asia,3386.0,3.6,83.5,7.9,2.3,2.8,2744766,Air,79.2
211,2020,South East Asia,3386.0,3.6,83.5,7.9,2.3,2.8,2744766,Sea,1.5
212,2020,South East Asia,3386.0,3.6,83.5,7.9,2.3,2.8,2744766,Land,19.3
213,2020,South East Asia,231622.0,10.9,82.1,0.0,1.7,5.3,2744766,Air,79.2
214,2020,South East Asia,231622.0,10.9,82.1,0.0,1.7,5.3,2744766,Sea,1.5
215,2020,South East Asia,231622.0,10.9,82.1,0.0,1.7,5.3,2744766,Land,19.3
216,2020,East Asia,39586.0,32.5,59.6,0.0,4.8,3.0,2744766,Air,79.2
217,2020,East Asia,39586.0,32.5,59.6,0.0,4.8,3.0,2744766,Sea,1.5
218,2020,East Asia,39586.0,32.5,59.6,0.0,4.8,3.0,2744766,Land,19.3
219,2020,East Asia,48191.0,58.6,38.4,0.0,1.6,1.4,2744766,Air,79.2
220,2020,East Asia,48191.0,58.6,38.4,0.0,1.6,1.4,2744766,Sea,1.5
221,2020,East Asia,48191.0,58.6,38.4,0.0,1.6,1.4,2744766,Land,19.3
222,2020,East Asia,32302.0,53.8,42.0,0.0,2.4,1.8,2744766,Air,79.2
223,2020,East Asia,32302.0,53.8,42.0,0.0,2.4,1.8,2744766,Sea,1.5
224,2020,East Asia,32302.0,53.8,42.0,0.0,2.4,1.8,2744766,Land,19.3
225,2020,East Asia,8969.0,27.6,70.2,0.0,1.4,0.8,2744766,Air,79.2
226,2020,East Asia,8969.0,27.6,70.2,0.0,1.4,0.8,2744766,Sea,1.5
227,2020,East Asia,8969.0,27.6,70.2,0.0,1.4,0.8,2744766,Land,19.3
228,2020,East Asia,1335.0,6.2,50.1,4.5,19.5,19.6,2744766,Air,79.2
229,2020,East Asia,1335.0,6.2,50.1,4.5,19.5,19.6,2744766,Sea,1.5
230,2020,East Asia,1335.0,6.2,50.1,4.5,19.5,19.6,2744766,Land,19.3
231,2020,East Asia,130383.0,47.1,47.8,0.1,2.8,2.2,2744766,Air,79.2
232,2020,East Asia,130383.0,47.1,47.8,0.1,2.8,2.2,2744766,Sea,1.5
233,2020,East Asia,130383.0,47.1,47.8,0.1,2.8,2.2,2744766,Land,19.3
234,2020,Australasia,86758.0,5.7,41.4,0.1,41.3,11.5,2744766,Air,79.2
235,2020,Australasia,86758.0,5.7,41.4,0.1,41.3,11.5,2744766,Sea,1.5
236,2020,Australasia,86758.0,5.7,41.4,0.1,41.3,11.5,2744766,Land,19.3
237,2020,Australasia,16653.0,4.8,46.9,0.2,28.8,19.2,2744766,Air,79.2
238,2020,Australasia,16653.0,4.8,46.9,0.2,28.8,19.2,2744766,Sea,1.5
239,2020,Australasia,16653.0,4.8,46.9,0.2,28.8,19.2,2744766,Land,19.3
240,2020,Australasia,1636.0,3.5,56.1,20.4,13.6,6.4,2744766,Air,79.2
241,2020,Australasia,1636.0,3.5,56.1,20.4,13.6,6.4,2744766,Sea,1.5
242,2020,Australasia,1636.0,3.5,56.1,20.4,13.6,6.4,2744766,Land,19.3
243,2020,Australasia,105047.0,5.5,42.5,0.4,38.9,12.6,2744766,Air,79.2
244,2020,Australasia,105047.0,5.5,42.5,0.4,38.9,12.6,2744766,Sea,1.5
245,2020,Australasia,105047.0,5.5,42.5,0.4,38.9,12.6,2744766,Land,19.3
